temp, humidity, soilMoisture
25.0, 55.0, 36.9
28.2, 62.1, 36.7
28.2, 61.7, 36.6
28.2, 62.3, 36.5
28.3, 62.5, 36.5
28.3, 62.0, 36.4
28.3, 61.4, 36.3
28.3, 61.1, 36.2
28.3, 60.7, 36.1
28.3, 60.6, 35.9
28.4, 60.5, 35.8
28.4, 60.2, 35.7
28.4, 59.9, 35.6
28.4, 59.6, 35.4
28.4, 59.5, 35.4
28.4, 59.5, 35.3
28.4, 59.5, 35.1
28.4, 59.3, 34.9
28.4, 59.3, 34.9
28.5, 59.2, 34.8
28.5, 59.1, 34.7
28.5, 58.9, 34.6
28.5, 58.9, 34.5
28.5, 58.7, 34.4
28.5, 58.7, 34.3
28.5, 59.1, 34.2
28.5, 59.2, 34.4
28.5, 59.2, 34.3
28.6, 59.3, 34.1
28.6, 59.2, 34.1
28.8, 58.1, 39.5
28.8, 58.9, 39.1
28.8, 59.2, 38.9
28.8, 59.4, 38.7
28.8, 59.5, 38.6
28.8, 59.3, 38.5
28.8, 59.0, 38.4
28.8, 59.1, 38.2
28.8, 59.3, 38.0
28.8, 59.1, 37.9
28.8, 58.9, 37.7
28.8, 58.9, 37.5
28.8, 58.7, 37.1
28.8, 58.9, 36.9
28.8, 59.4, 36.7
28.8, 59.4, 36.5
28.4, 59.1, 36.3
28.9, 60.0, 36.1
28.9, 59.9, 36.0
28.9, 59.6, 35.8
28.9, 59.4, 35.6
28.9, 59.3, 35.5
28.9, 59.1, 35.3
28.9, 59.1, 35.2
28.9, 59.0, 35.0
28.9, 59.1, 34.8
28.9, 59.1, 33.8
28.9, 59.1, 33.6
28.9, 59.1, 33.5
28.9, 59.1, 33.3
28.9, 59.2, 33.2
28.9, 59.3, 33.0
28.9, 59.1, 32.9
28.9, 58.9, 32.8
28.9, 58.9, 32.7
28.9, 58.9, 32.5
28.9, 58.5, 32.4
28.9, 58.5, 32.1
28.9, 58.3, 32.0
28.9, 58.1, 31.8
28.9, 58.0, 31.7
28.9, 57.8, 31.5
28.9, 57.6, 31.4
28.9, 57.4, 32.3
28.9, 57.6, 34.9
28.9, 57.6, 34.5
28.9, 57.6, 34.3
28.9, 57.4, 34.1
28.9, 57.2, 33.9
28.9, 57.1, 33.9
28.9, 57.0, 33.7
28.9, 57.0, 33.4
28.9, 56.9, 33.2
28.9, 56.9, 33.1
28.9, 56.8, 32.9
28.9, 56.7, 32.7
28.9, 56.8, 32.5
28.9, 56.9, 32.3
28.9, 56.9, 32.1
28.9, 57.0, 32.0
28.9, 57.1, 31.8
28.9, 57.0, 31.7
28.9, 56.9, 31.6
28.9, 56.8, 31.5
28.9, 56.9, 31.4
28.9, 56.8, 31.2
28.9, 56.8, 31.0
28.9, 56.8, 30.7
28.9, 56.1, 30.5
28.9, 55.9, 30.3
28.9, 56.5, 30.1
28.9, 56.5, 56.2
28.9, 56.7, 100.0
28.9, 56.8, 100.0
28.9, 56.8, 100.0
28.8, 56.8, 100.0
28.8, 56.7, 100.0
28.8, 56.7, 100.0
28.8, 56.5, 100.0
28.8, 56.4, 100.0
28.8, 56.4, 100.0
28.8, 56.5, 100.0
28.8, 56.6, 100.0
28.8, 56.8, 100.0
28.8, 56.6, 99.1
28.8, 56.7, 95.8
28.8, 56.7, 95.2
28.8, 56.3, 95.0
28.8, 56.5, 94.7
28.8, 56.8, 94.6
28.8, 57.5, 94.4
28.8, 57.9, 94.3
28.8, 57.3, 94.2
28.8, 57.3, 94.1
28.8, 57.3, 94.0
28.8, 57.3, 93.9
28.8, 57.2, 93.8
28.8, 57.3, 93.7
28.8, 57.2, 93.6
28.8, 57.0, 93.5
28.8, 56.7, 93.5
28.8, 56.9, 93.4
28.8, 56.9, 93.3
28.8, 56.9, 93.2
28.8, 56.8, 93.2
28.8, 56.9, 93.1
28.8, 56.6, 93.0
28.8, 56.6, 92.9
28.8, 56.8, 92.9
28.8, 56.7, 92.8
28.8, 56.6, 92.8
28.8, 56.5, 92.8
28.8, 56.5, 92.7
28.8, 56.5, 92.7
28.8, 56.7, 92.6
28.4, 56.4, 92.6
28.8, 56.5, 92.5
28.8, 56.6, 92.5
28.8, 56.5, 92.4
28.8, 56.5, 92.5
28.8, 56.6, 92.5
28.8, 56.5, 92.4
28.8, 56.4, 92.4
28.8, 56.3, 92.3
28.8, 56.2, 92.3
28.8, 56.1, 92.3
28.8, 56.2, 92.2
28.8, 56.2, 92.2
28.8, 56.4, 92.1
28.8, 56.4, 92.1
28.8, 56.5, 92.1
28.8, 56.4, 92.0
28.8, 56.3, 92.0
28.8, 56.5, 92.0
28.8, 56.4, 91.9
28.8, 56.2, 91.9
28.8, 56.1, 91.9
28.8, 56.3, 91.8
28.8, 56.3, 91.8
28.8, 56.0, 91.8
28.8, 56.0, 91.8
28.8, 55.9, 91.7
28.8, 56.1, 91.7
28.8, 56.2, 91.7
28.8, 56.4, 91.7
28.8, 56.4, 91.6
28.8, 56.1, 91.6
28.8, 55.8, 91.6
28.8, 56.1, 91.6
28.8, 56.4, 91.5
28.8, 56.3, 91.5
28.8, 56.2, 91.5
28.8, 56.2, 91.5
28.9, 56.1, 91.4
28.9, 56.2, 91.4
28.8, 55.9, 91.4
28.8, 55.8, 91.4
28.7, 56.0, 91.3
28.6, 56.4, 91.3
28.5, 56.6, 91.3
28.4, 56.8, 91.3
28.3, 57.2, 91.3
28.2, 57.5, 91.3
28.2, 57.8, 91.2
28.1, 57.9, 91.2
28.0, 58.0, 91.2
28.0, 58.3, 91.2
28.0, 58.5, 91.2
27.9, 58.6, 91.2
27.9, 58.8, 91.1
27.8, 59.1, 91.1
27.8, 59.5, 91.1
27.8, 59.8, 91.1
27.8, 60.0, 91.1
27.8, 59.9, 91.1
27.7, 60.0, 91.1
27.7, 60.0, 91.0
27.7, 60.0, 91.0
27.7, 60.1, 91.0
27.7, 60.2, 91.0
27.7, 60.1, 91.0
27.7, 59.9, 91.0
27.7, 59.9, 91.0
27.7, 60.1, 91.0
27.6, 60.1, 91.0
27.6, 60.1, 90.9
27.6, 60.1, 90.9
27.6, 60.0, 90.9
27.6, 60.2, 90.9
27.6, 60.1, 91.0
27.6, 60.0, 90.9
27.6, 60.1, 90.9
27.6, 60.2, 90.9
27.6, 60.3, 90.9
27.6, 60.3, 90.9
27.6, 60.2, 90.9
27.6, 60.3, 90.9
27.5, 60.3, 90.9
27.5, 60.4, 90.9
27.5, 60.4, 90.8
27.5, 60.3, 90.8
27.5, 60.2, 90.8
27.5, 60.1, 90.8
27.5, 59.4, 90.8
27.5, 58.6, 90.8
27.4, 58.7, 90.8
27.1, 58.0, 90.8
27.3, 58.4, 90.8
27.3, 58.4, 90.7
27.2, 58.1, 90.7
27.2, 58.0, 90.7
27.1, 57.8, 90.7
27.1, 57.6, 90.7
27.0, 57.4, 90.7
26.9, 57.7, 90.7
26.9, 58.2, 90.7
